2.7955, 1.8008, 0.5571, 1.6691, "2014-07-15 ", 0.027
5.2678, 4.8762, 1.3385, 2.405, "2014-07-16 ", 0.077
5.3891, 4.9511, 1.3316, 2.1234, "2014-07-17 ", 0.061
5.2153, 4.9788, 1.3105, 2.0428, "2014-07-18 ", 0.057
4.967, 4.9577, 1.3142, 1.4344, "2014-07-19 ", 0.059
4.7018, 4.9462, 1.285, 0.3955, "2014-07-20 ", 0.057
5.4131, 4.9604, 1.3273, 2.3945, "2014-07-21 ", 0.067
5.7092, 4.9546, 1.3055, 2.2018, "2014-07-22 ", 0.075
5.6484, 4.9319, 1.3479, 2.4604, "2014-07-23 ", 0.074
5.7626, 4.9834, 1.3277, 2.6257, "2014-07-24 ", 0.072
5.7639, 5.0098, 1.3338, 2.7551, "2014-07-25 ", 0.066
4.7593, 5, 1.3128, 1.0508, "2014-07-26 ", 0.065
4.6427, 4.8823, 1.2877, 0.2074, "2014-07-27 ", 0.053
5.4131, 4.7854, 1.3329, 2.5067, "2014-07-28 ", 0.076
5.6809, 4.8315, 1.5038, 2.5496, "2014-07-29 ", 0.07
5.4946, 4.8408, 1.4968, 2.4195, "2014-07-30 ", 0.072
4.9959, 4.5083, 1.2386, 2.3148, "2014-07-31 ", 0.065
5.2914, 4.8292, 1.3258, 2.7204, "2014-08-01 ", 0.074
4.4146, 4.8108, 1.2769, 0.8271, "2014-08-02 ", 0.061
4.2598, 4.8056, 1.2687, 0.446, "2014-08-03 ", 0.054
4.9309, 4.2469, 1.4881, 2.539, "2014-08-04 ", 0.071
5.3007, 4.7361, 1.3439, 2.9221, "2014-08-05 ", 0.078
5.0798, 2.732, 1.3393, 2.7882, "2014-08-06 ", 0.062
4.9771, 2.0346, 1.3197, 2.5413, "2014-08-07 ", 0.073
5.0588, 2.0419, 1.324, 2.6415, "2014-08-08 ", 0.069
4.6028, 0.2157, 1.3016, 0.8552, "2014-08-09 ", 0.067
4.259, 0.2416, 1.2695, 0.2119, "2014-08-10 ", 0.056
4.8799, 2.0901, 1.4595, 2.4577, "2014-08-11 ", 0.073
5.1368, 2.4227, 1.3383, 2.5705, "2014-08-12 ", 0.083
4.9978, 2.8979, 1.3171, 2.758, "2014-08-13 ", 0.071
4.9737, 2.2774, 1.2028, 2.5499, "2014-08-14 ", 0.068
4.9799, 3.2768, 1.2184, 2.6277, "2014-08-15 ", 0.068
4.2023, 0.1697, 1.1584, 0.7153, "2014-08-16 ", 0.05
4.1924, 0.1697, 1.1436, 1.0236, "2014-08-17 ", 0.051
4.559, 3.2304, 1.1974, 2.8218, "2014-08-18 ", 0.059
4.5784, 3.3088, 1.1678, 2.3961, "2014-08-19 ", 0.057
4.7131, 3.4062, 1.179, 2.4712, "2014-08-20 ", 0.06
4.6846, 3.3822, 1.1842, 2.192, "2014-08-21 ", 0.084
4.6327, 3.337, 1.1749, 2.282, "2014-08-22 ", 0.054
4.3975, 0.2745, 1.141, 0.4162, "2014-08-23 ", 0.05
4.4144, 0.2536, 1.14, 0.4829, "2014-08-24 ", 0.048
4.7922, 3.3814, 1.2621, 2.5607, "2014-08-25 ", 0.071
4.9048, 3.5133, 1.207, 2.5696, "2014-08-26 ", 0.067
5.0564, 3.453, 1.2144, 2.6156, "2014-08-27 ", 0.067
4.8889, 3.4949, 1.2047, 2.9331, "2014-08-28 ", 0.062
4.8329, 3.4981, 1.2197, 2.2306, "2014-08-29 ", 0.081
3.8126, 2.6647, 1.1606, 1.3808, "2014-08-30 ", 0.053
4.0625, 2.7285, 1.2953, 1.6485, "2014-08-31 ", 0.056
4.0936, 3.7609, 1.2836, 0.8646, "2014-09-01 ", 0.052
6.0102, 3.9887, 1.385, 2.6479, "2014-09-02 ", 0.142
5.8386, 3.8752, 1.3849, 2.6971, "2014-09-03 ", 0.11
5.9378, 3.6662, 1.4076, 2.5274, "2014-09-04 ", 0.143
5.7641, 3.1649, 1.4263, 2.7125, "2014-09-05 ", 0.12
4.0245, 2.3921, 1.281, 0.6444, "2014-09-06 ", 0.054
3.7133, 2.1939, 1.248, 0.3494, "2014-09-07 ", 0.047
6.0441, 2.9484, 1.3116, 2.5897, "2014-09-08 ", 0.161
6.7084, 2.6352, 1.4537, 2.6792, "2014-09-09 ", 0.154
6.8684, 2.9708, 1.4651, 2.6509, "2014-09-10 ", 0.13
6.8337, 3.1111, 1.4525, 2.6729, "2014-09-11 ", 0.172
7.1361, 3.1239, 1.4156, 2.7929, "2014-09-12 ", 0.142
6.4165, 2.3017, 1.26, 1.8882, "2014-09-13 ", 0.149
6.3122, 2.2047, 1.2366, 2.0755, "2014-09-14 ", 0.133
8.0909, 3.0688, 1.6084, 2.7494, "2014-09-15 ", 0.202
8.6037, 2.9436, 1.6044, 2.7889, "2014-09-16 ", 0.179
7.9938, 2.8986, 1.7416, 2.6094, "2014-09-17 ", 0.175
8.1987, 1.7766, 1.826, 2.4314, "2014-09-18 ", 0.195
7.6106, 3.2531, 1.4722, 3.1096, "2014-09-19 ", 0.205
6.8257, 2.2662, 1.4188, 1.9725, "2014-09-20 ", 0.117
6.3849, 2.172, 1.408, 1.8698, "2014-09-21 ", 0.124
8.6879, 2.9837, 1.6335, 2.6203, "2014-09-22 ", 0.205
8.5171, 2.853, 1.5273, 2.7596, "2014-09-23 ", 0.185
8.1741, 2.9728, 1.5697, 2.4777, "2014-09-24 ", 0.163
8.4106, 2.9349, 1.7222, 2.5732, "2014-09-25 ", 0.183
7.9965, 2.9081, 1.5775, 2.5576, "2014-09-26 ", 0.149
6.7668, 2.2203, 1.6383, 1.8925, "2014-09-27 ", 0.117
6.5574, 2.2071, 1.5301, 2.2109, "2014-09-28 ", 0.119
7.9776, 2.964, 1.7285, 3.2956, "2014-09-29 ", 0.227
8.5414, 3.0895, 1.5299, 3.0205, "2014-09-30 ", 0.215
8.4563, 3.0227, 1.5389, 3.3398, "2014-10-01 ", 0.219
7.5779, 3.0287, 1.601, 3.7377, "2014-10-02 ", 0.199
8.4458, 3.0244, 1.4905, 3.2481, "2014-10-03 ", 0.17
7.236, 2.2222, 1.377, 2.7512, "2014-10-04 ", 0.136
7.5191, 2.0529, 1.452, 2.5111, "2014-10-05 ", 0.144
8.9924, 2.8191, 1.4635, 3.1803, "2014-10-06 ", 0.214
8.2731, 2.9296, 1.5195, 3.1555, "2014-10-07 ", 0.212
8.2133, 2.9223, 1.556, 2.9551, "2014-10-08 ", 0.193
8.8866, 2.8532, 1.6997, 3.1288, "2014-10-09 ", 0.206
7.9187, 2.8814, 1.5436, 3.0341, "2014-10-10 ", 0.151
6.8929, 2.0341, 1.3554, 2.1958, "2014-10-11 ", 0.148
6.6581, 2.0022, 1.3654, 2.1313, "2014-10-12 ", 0.15
7.2738, 2.7865, 1.3987, 3.0555, "2014-10-13 ", 0.178
7.5463, 2.8792, 1.5244, 3.1825, "2014-10-14 ", 0.194
9.3964, 2.9535, 1.6904, 3.3464, "2014-10-15 ", 0.227
9.8908, 3.0189, 1.5818, 3.4833, "2014-10-16 ", 0.244
8.775, 2.9779, 1.6655, 3.5331, "2014-10-17 ", 0.223
8.2147, 2.2574, 1.558, 2.8105, "2014-10-18 ", 0.188
7.5642, 2.0502, 1.484, 2.7796, "2014-10-19 ", 0.203
9.7381, 2.8625, 1.4626, 3.7792, "2014-10-20 ", 0.208
8.911, 2.69, 1.4842, 3.3595, "2014-10-21 ", 0.234
9.1028, 2.7733, 1.5273, 3.488, "2014-10-22 ", 0.373
9.0914, 2.7404, 1.6342, 3.534, "2014-10-23 ", 0.263
8.6862, 2.6831, 1.5049, 3.2552, "2014-10-24 ", 0.191
7.135, 1.8769, 1.3757, 2.5176, "2014-10-25 ", 0.142
6.7713, 1.9395, 1.5476, 2.5293, "2014-10-26 ", 0.201
9.0042, 2.6844, 1.5648, 3.2232, "2014-10-27 ", 0.186
9.9433, 2.7217, 1.5347, 3.4762, "2014-10-28 ", 0.209
9.9106, 2.8756, 1.6615, 3.5663, "2014-10-29 ", 0.229
10.4524, 2.6767, 1.7451, 3.4466, "2014-10-30 ", 0.343
8.5459, 2.7646, 1.6938, 3.5227, "2014-10-31 ", 0.206
6.3644, 2.0619, 1.4351, 1.6928, "2014-11-01 ", 0.091
7.3336, 2.3904, 1.7892, 2.9098, "2014-11-02 ", 0.152
9.8188, 3.0741, 1.6209, 3.9032, "2014-11-03 ", 0.226
10.4149, 2.8201, 1.5991, 3.6579, "2014-11-04 ", 0.214
9.8851, 2.8621, 1.7523, 3.3376, "2014-11-05 ", 0.216
9.5734, 2.6657, 1.7678, 3.7196, "2014-11-06 ", 0.221
9.7755, 2.805, 1.5016, 3.4139, "2014-11-07 ", 0.224
7.969, 1.9931, 1.4353, 3.2261, "2014-11-08 ", 0.195
9.159, 1.9474, 1.4693, 3.2892, "2014-11-09 ", 0.196
9.3382, 2.7954, 1.4861, 3.6063, "2014-11-10 ", 0.234
9.202, 2.7439, 1.5654, 3.3377, "2014-11-11 ", 0.222
